		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
1					3				3				3				3				3				3				3				3				3				
2									6	6							6	6							6	6							6	6							
3					3		3		3	4	3		3		3		3	4	3		3		3		3	4	3		3		3		3	4	3		3		3		
4																	12	12	12	12													12	12	12	12					
5									3		3		3				3	4	3	4	3				3		3		3				3	4	3	4	3				
6									4	4			4	4			4	4	4	4	4	4			4	4			4	4			4	4	4	4	4	4			
7									3	3	3		3	3	3		3	3	3	3	3	3	3		3	3	3		3	3	3		3	3	3	3	3	3	3		
8																																	24	24	24	24	24	24	24	24	
9													3				3		3		3		3		3				3				3	4	3	4	3	4	3	4	
10																	6	6			6	6			6	6							6	6	6	6	6	6	6	6	
11													3		3		3	4	3		3	4	3		3	4	3		3		3		3	4	3	4	3	4	3	4	
12																	6	6	6	6					6	6	6	6					6	6	6	6	6	6	6	6	
13																	3	3	3	3	3		3		3	3	3	3	3				3	3	3	3	3	3	3	3	
14																	4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4	4	4	
15																	3	3	3	3	3	3	3		3	3	3	3	3	3	3		3	3	3	3	3	3	3	3	
16																																									
17																					3				3				3				3		3		3		3		
18																									6	6							6	6			6	6			
19																					3		3		3	4	3		3		3		3	4	3		3	4	3		
20																																	12	12	12	12					
21																									3		3		3				3	4	3	4	3		3		
22																									4	4			4	4			4	4	4	4	4	4			
23																									3	3	3		3	3	3		3	3	3	3	3	3	3		
24																																	10	10	10	10	10	10	10	10	
25																													3				3	3	3	3	3	3	3	3	
26																																	6	6	6	6	6	6	6	6	
27																													3		3		3	4	3	4	3	4	3	4	
28																																	6	6	6	6	6	6	6	6	
29																																	3	3	3	3	3	3	3	3	
